,Translation_error,Orientation_error,est_lat,est_lon,gt_lat,gt_lon
0,4.378627643925874,2.3799004632786054,38.74963460812736,23.395965445686745,38.7496451,23.3959966
1,3.500848788160964,2.5574527813762877,38.74963422306508,23.395964697035048,38.7496449,23.3959968
2,4.815255097775213,2.859363762761228,38.7497554776084,23.395376317913623,38.7497781,23.3953474
3,5.1163963741228216,2.9493922797516876,38.749821709816445,23.395043420859118,38.7498416,23.3950233
4,5.900653957280204,3.015019936772962,38.74987354971507,23.394776838550882,38.749894,23.3947583
5,6.335493423575339,3.157664656865066,38.74991792417985,23.394565769575493,38.7499295,23.3945818
6,7.853147837080531,3.4002079188029497,38.74994466357973,23.394432492161712,38.7499491,23.3944789
7,9.090803414057687,3.657020111962651,38.749905976826334,23.394597954699147,38.7499045,23.3946773
8,9.647688464746798,3.290895704721718,38.74985160249202,23.394821214721464,38.7498477,23.3949157
9,6.4695791690108555,3.2794756364760747,38.7498237941887,23.394935725835822,38.74983,23.3949892
10,7.453662802413095,2.9964122373212954,38.749822351283804,23.395011003951975,38.7498276,23.3950808
11,7.626295718791282,2.711391873043499,38.74980588615409,23.39519401170374,38.7498107,23.3952709
12,5.0294756660288105,2.823670577533994,38.749798732134515,23.395259492833166,38.7498065,23.3953017
13,6.7211644507444435,2.513937454215971,38.74975147333457,23.395407640074794,38.7497533,23.3954766
14,6.669660026509139,2.450287612824361,38.74971508361387,23.39554147635764,38.749718,23.3956112
15,4.926002806933958,2.436014378831529,38.74968544430696,23.395664614516967,38.7496941,23.3957131
16,4.826521214169048,2.2744069452976223,38.74968731256972,23.39566798078675,38.7496997,23.3957133
17,5.74730416524417,2.149338447199002,38.749698145757776,23.39574173643031,38.7497123,23.3957998
18,5.816790958357866,2.0145912391251044,38.74971415206319,23.39585321250317,38.7497286,23.3959135
19,5.775408432451299,1.8692772858314415,38.749731755954116,23.39597882518958,38.7497458,23.3960397
20,2.98077995955647,1.8735518939077664,38.74974420816682,23.396078776015894,38.7497533,23.3961076
21,4.242698682970686,1.6999585094790863,38.74975970997154,23.396069842640077,38.7497787,23.396109
22,5.1125222091703035,1.6082066499015224,38.74981459640887,23.39612378968931,38.7498383,23.3961723
23,6.060900149780513,1.4352422943342944,38.74990309209716,23.396230039111654,38.7499337,23.396287
24,3.529163375425852,1.4757627164558882,38.74997106466569,23.396310682017692,38.749985,23.3963468
25,2.2945089812285295,1.6464852022064496,38.74998119399367,23.396318191711376,38.7499847,23.3963437
26,4.177742454908823,1.2498109890837426,38.74997524471657,23.396328286877047,38.7499859,23.396374
27,4.555242416854094,1.1773853846179008,38.7500022433102,23.396430338337655,38.7500162,23.3964794
28,5.8782141550729765,1.1229538250954207,38.75005037359717,23.396574611819673,38.7500681,23.3966383
29,4.502728359943637,1.1699763514078734,38.75009564106077,23.39671604687382,38.7501081,23.3967653
30,1.9510883341004068,1.2575020333516156,38.75011189284706,23.39677075914881,38.7501148,23.3967927
31,2.9655163810484826,1.2483793670853034,38.75010503017134,23.39675227701503,38.7501124,23.396785
32,3.9804076684674596,1.259975155488796,38.75013897958033,23.39683286005588,38.750151,23.3968759
33,4.698079064494407,1.309140780345877,38.75017862563206,23.39693580685753,38.7501935,23.3969863
34,5.521005019865952,1.3774354370240758,38.75023484526672,23.39708576495584,38.7502529,23.3971448
35,2.588862603924925,1.5280434388228339,38.75029706999102,23.397253033230218,38.7503021,23.3972811
36,2.6673764037946874,1.2751647515111848,38.75029182379086,23.397243207699336,38.7502996,23.3972715
37,3.9413872994200725,1.226977012487376,38.75033179610177,23.397296564754498,38.7503475,23.3973367
38,4.200607009160465,1.1786904020732538,38.75040219251715,23.3974012774329,38.7504195,23.3974436
39,5.974500832852933,1.1891646343042215,38.75050331451817,23.397548869806027,38.7505323,23.3976063
40,2.8671131592516277,1.2262490375653914,38.75058653874601,23.39766564651955,38.7505946,23.3976956
41,1.7766842003476468,1.1648027870551065,38.75058865669497,23.39767370862674,38.7505877,23.3976919
42,3.2154100777164842,1.005406181061064,38.75061558752706,23.39769191303478,38.7506295,23.3977233
43,3.546997565729525,1.0074697332635496,38.75068717988861,23.397756879706694,38.7507043,23.3977905
44,2.0553347054402797,1.019807274860622,38.75074717233517,23.39781017389741,38.7507493,23.3978317
45,3.000553279268967,0.9286182522172733,38.750746859038344,23.39780608026862,38.7507614,23.397834
46,3.3476822887405144,0.9993804815573507,38.75080621287315,23.39783951284857,38.7508241,23.3978695
47,4.037603556647885,1.045066830378938,38.750884871185455,23.397886045737216,38.7509097,23.3979192
48,2.2425546234119142,1.1133366238509093,38.75096684737222,23.39793309765096,38.750973,23.3979561
49,2.4874775640120887,1.0047925598010028,38.75097575067464,23.3979258085793,38.7509909,23.3979457
50,3.131328366755778,1.0560937310131646,38.75105285998468,23.397922779634015,38.751076,23.3979422
51,2.982310806074545,1.102984074587923,38.7511474052138,23.39792034110554,38.7511694,23.3979388
52,2.2979300629447446,1.1300641242232767,38.751274179494565,23.397913443319478,38.751286,23.3979333
53,2.087512769408431,1.016527641254708,38.75128139673798,23.397909426426438,38.751281,23.3979319
54,2.1439669502144216,1.0834560934568132,38.75131462315571,23.397890096128346,38.751329,23.3979046
55,2.3933599172559545,1.1546067579163188,38.75138805162,23.397852125097355,38.7514066,23.3978644
56,2.313553141962936,1.2320734957041275,38.7515097150048,23.397791860323103,38.7515262,23.3978059
57,2.222354621908472,1.2194275119668998,38.751533504143175,23.39778244960575,38.7515336,23.3978066
58,1.7274035482856585,1.2432603873188157,38.751567570679946,23.39772476061771,38.7515819,23.3977256
59,1.7132416054341923,1.3423927576322703,38.75164255466337,23.39760731765477,38.7516571,23.3976091
60,2.0440358581024056,1.4580753517184055,38.75173086953071,23.39747190532178,38.7517483,23.3974689
61,1.9039585312873346,1.616613744708083,38.75183556166647,23.39730993479816,38.7518521,23.3973078
62,1.4073708851487936,1.6541683203010535,38.75193318499571,23.397160418840873,38.7519394,23.3971738
63,2.875976135344419,1.569104871962351,38.751944876682316,23.397134854800957,38.7519416,23.3971673
